model,activity,trim_condition,frame_count,prompt_type,view,file,test_type,n,observed_accuracy,test_statistic,p_value,significant_at_0.05
qwen,climbing,entire,16,structured,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_structured.csv,chi-squared,100,0.24,209.52,3.6976095296931237e-45,yes
qwen,climbing,entire,8,structured,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_structured.csv,chi-squared,27,0.05,43.6667,1.7764110335979721e-09,yes
qwen,climbing,entire,8,structured,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_structured.csv,chi-squared,69,0.14,199.1159,6.549083874371954e-43,yes
qwen,climbing,trimmed,16,structured,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_structured.csv,chi-squared,98,0.26,106.1633,7.343474141373715e-23,yes
qwen,climbing,trimmed,16,structured,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_structured.csv,chi-squared,93,0.17,96.6344,8.2231305038078e-21,yes
qwen,climbing,trimmed,8,structured,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_structured.csv,chi-squared,98,0.19,149.0204,4.286254989570469e-32,yes
qwen,climbing,trimmed,8,structured,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_structured.csv,chi-squared,98,0.22,185.6735,5.2499335427063436e-40,yes
qwen,dance,entire,16,binary,ego,diss_dance/results/qwen/qwen_dance_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,entire,16,binary,exo,diss_dance/results/qwen/qwen_dance_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,entire,8,binary,ego,diss_dance/results/qwen/qwen_dance_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,entire,8,binary,exo,diss_dance/results/qwen/qwen_dance_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,trimmed,16,binary,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
